sku_record_id,geo_market,brand_name,category,sub_category,product_portfolio,product_name,product_description,variant_flavor_scent,pack_size,form_factor,upc_or_gtin,retailer_sku_id,retailer,product_url,source_type,confidence,date_collected
CL-CA-COLGATE-0011,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate Mouthwash Peppermint Blast 1 L,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Peppermint,1 L,Liquid Rinse,n.a.,Voila article 373247EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-mouthwash-peppermint-blast-1-l/373247EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0012,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Optic Fighter Toothpaste White Stain 90 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,90 mL,Paste / Gel,n.a.,Voila article 510412EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-optic-fighter-toothpaste-white-stain-90-ml/510412EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0013,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate (core),Colgate Portable Travel Toothbrush Soft,Walmart Canada retailer listing.,n.a.,n.a.,Brush,n.a.,Walmart.ca item 10223081,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-Portable-Travel-Toothbrush-Soft/10223081,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0014,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Regular Toothpaste 120 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,120 mL,Paste / Gel,n.a.,Voila article 627695EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-regular-toothpaste-120-ml/627695EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0015,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Regular Toothpaste 95 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,95 mL,Paste / Gel,n.a.,Voila article 627757EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-regular-toothpaste-95-ml/627757EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0016,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Stain Fighter Toothpaste 2 Pack 180 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,"180 mL, 2 ct",Paste / Gel,n.a.,Voila article 846151EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-stain-fighter-toothpaste-2-pack-180-ml/846151EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0017,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate (core),Colgate Toothbrush Adult Twister Soft,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 26379EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothbrush-adult-twister-soft/26379EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0018,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate (core),Colgate Toothbrush Minion Smiles Soft,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 495273EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothbrush-minion-smiles-soft/495273EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0019,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate (core),Colgate Toothbrush Powered Floss Tip Soft,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 629877EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothbrush-powered-floss-tip-soft/629877EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0020,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate (core),Colgate Toothbrush Soft Sensation,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 26355EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothbrush-soft-sensation/26355EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0021,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Toothpaste Clean Mint 120 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Clean Mint,120 mL,Paste / Gel,n.a.,Voila article 949765EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothpaste-clean-mint-120-ml/949765EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0022,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Toothpaste Regular 150 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,150 mL,Paste / Gel,n.a.,Voila article 630522EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothpaste-regular-150-ml/630522EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0023,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Toothpaste Whitening 2 X 120 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,120 mL,Paste / Gel,n.a.,Voila article 840784EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothpaste-whitening-2-x-120-ml/840784EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0024,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Toothpaste Winter Fresh 95 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,95 mL,Paste / Gel,n.a.,Voila article 627760EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-toothpaste-winter-fresh-95-ml/627760EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0025,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate (core),Colgate Twister Toothbrush Adult Medium,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 26375EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-twister-toothbrush-adult-medium/26375EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0026,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate Watermelon 2 In 1 Toothpaste And Mouthwash 100 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Watermelon,100 mL,Paste / Gel,n.a.,Voila article 421878EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-watermelon-2-in-1-toothpaste-and-mouthwash-100-ml/421878EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0027,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate Whitening 2 In 1 Toothpaste And Mouthwash 100 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,100 mL,Paste / Gel,n.a.,Voila article 62015EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-whitening-2-in-1-toothpaste-and-mouthwash-100-ml/62015EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0028,Canada,Colgate,Whitening,Whitening pen / strips / kit,Colgate (core),Colgate Whitening Pen Overnight 1 Ea,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Whitening Device / Strip,n.a.,Voila article 902164EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-whitening-pen-overnight-1-ea/902164EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0029,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Winterfresh Toothpaste 120 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,120 mL,Paste / Gel,n.a.,Voila article 627706EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-winterfresh-toothpaste-120-ml/627706EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0030,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate dentifrice,Open barcode database record (barcode 13334303); brands field: colgate.,n.a.,n.a.,Paste / Gel,n.a.,n.a.,n.a. (open barcode database),"https://world.openbeautyfacts.org/api/v2/search?brands_tags=colgate&countries_tags=en%3Acanada&fields=code,product_name,generic_name,brands,quantity,categories_tags,product_quantity,labels_tags,url&page_size=100&page=1",UPC database,Medium,2026-08-31
CL-CA-COLGATE-0031,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Hello Clean Mint Fluoride Free And Alcohol Free Mouthwash With Aloe Vera 520 Ml,Walmart Canada retailer listing.,Clean Mint,520 mL,Liquid Rinse,n.a.,Walmart.ca item 1C8K6D2GHFE4,Walmart Canada,https://www.walmart.ca/en/ip/hello-Clean-Mint-Fluoride-Free-and-Alcohol-Free-Mouthwash-with-Aloe-Vera-520-mL/1C8K6D2GHFE4,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0032,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Hello Goodbye Plaque Whitening Fluoride Free Toothpaste Peppermint 98 Ml,Walmart Canada retailer listing.,Peppermint,98 mL,Paste / Gel,n.a.,Walmart.ca item 6000202108532,Walmart Canada,https://www.walmart.ca/en/ip/hello-Goodbye-Plaque-Whitening-Fluoride-Free-Toothpaste-Peppermint-98-ml/6000202108532,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0033,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Hello Super Fresh Whitening Fluoride Free Toothpaste Natural Spearmint 82 Ml,Walmart Canada retailer listing.,Spearmint,82 mL,Paste / Gel,n.a.,Walmart.ca item 4DYZH0H57VIR,Walmart Canada,https://www.walmart.ca/en/ip/hello-Super-Fresh-Whitening-Fluoride-Free-Toothpaste-Natural-Spearmint-82-ml/4DYZH0H57VIR,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0034,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Hello Super Mega Whitening Toothpaste With Fluoride Peppermint 82 Ml Tube,Walmart Canada retailer listing.,Peppermint,82 mL,Paste / Gel,n.a.,Walmart.ca item 6000207946465,Walmart Canada,https://www.walmart.ca/en/ip/hello-Super-Mega-Whitening-Toothpaste-with-Fluoride-Peppermint-82-ml-Tube/6000207946465,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0035,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Hello Whipped Fluoride Toothpaste Minty Foam Toothpaste Mellow Mint 82 Ml,Walmart Canada retailer listing.,Mint,82 mL,Paste / Gel,n.a.,Walmart.ca item 2C5T5Q1Z7GPJ,Walmart Canada,https://www.walmart.ca/en/ip/hello-Whipped-Fluoride-Toothpaste-Minty-Foam-Toothpaste-Mellow-Mint-82-mL/2C5T5Q1Z7GPJ,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0036,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Hello Whipped Fluoride Toothpaste Peppermint Stick 82 Ml,Walmart Canada retailer listing.,Peppermint,82 mL,Paste / Gel,n.a.,Walmart.ca item 6Z2HX187BSN7,Walmart Canada,https://www.walmart.ca/en/ip/hello-Whipped-Fluoride-Toothpaste-Peppermint-Stick-82-mL/6Z2HX187BSN7,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0037,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Adult Toothbrush Soft 4 Pack,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,4 ct,Brush,n.a.,Voila article 790808EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-360-adult-toothbrush-soft-4-pack/790808EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0038,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Advanced 4 Zone Soft Toothbrush,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 682680EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-360-advanced-4-zone-soft-toothbrush/682680EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0039,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Advanced Floss Tip Toothbrush Adult Soft 2 Pack,Walmart Canada retailer listing.,n.a.,2 ct,Brush,n.a.,Walmart.ca item 31LFVSJQ51BQ,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Advanced-Floss-Tip-Toothbrush-Adult-Soft-2-Pack/31LFVSJQ51BQ,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0040,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Advanced Whitening Soft Toothbrush Pack 4 Count,Walmart Canada retailer listing.,n.a.,4 ct,Brush,n.a.,Walmart.ca item 6000200641331,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Advanced-Whitening-Soft-Toothbrush-Pack-4-Count/6000200641331,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0041,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Charcoal Sonic Powered Battery Toothbrush,Walmart Canada retailer listing.,Charcoal,n.a.,Brush,n.a.,Walmart.ca item 6000202057123,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Charcoal-Sonic-Powered-Battery-Toothbrush/6000202057123,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0042,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Colgate 360 Vibrate Charcoal Battery Powered Electric Toothbrush,n.a.,Charcoal,n.a.,Brush,n.a.,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/mf-wisp,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0043,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Floss Tip Battery Toothbrush,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 694845EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-360-floss-tip-battery-toothbrush/694845EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0044,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Floss Tip Starter Kit Toothbrush Pack,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 174656EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-360-floss-tip-starter-kit-toothbrush-pack/174656EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0045,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Fresh 'N Protect Tweens Toothbrush,Cleaning bristles and polishing cups help remove more plaque and stains than an ordinary flat-trim toothbrush.,n.a.,n.a.,Brush,035000554048,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/colgate-360-fresh-protect-tweens-toothbrush,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0046,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Medium Twin Toothbrushes 2 Pack,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,2 ct,Brush,n.a.,Voila article 224460EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-360-medium-twin-toothbrushes-2-pack/224460EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0047,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Optic Toothbrush White Medium 1 Pack,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,1 ct,Brush,n.a.,Voila article 301230EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-360-optic-toothbrush-white-medium-1-pack/301230EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0048,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Sonic Power Bat Toothbrush,Well.ca retailer listing (Canada).,n.a.,n.a.,Brush,n.a.,Well.ca sku 199135,Well.ca,https://well.ca/products/colgate-360-sonic-power-bat_199135.html,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0049,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Toothbrush Medium,Walmart Canada retailer listing.,n.a.,n.a.,Brush,n.a.,Walmart.ca item 10219802,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Toothbrush-Medium/10219802,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0050,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Toothbrush Soft,Well.ca retailer listing (Canada).,n.a.,n.a.,Brush,n.a.,Well.ca sku 4083,Well.ca,https://well.ca/products/colgate-360-toothbrush-soft_4083.html,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0051,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Toothbrush Value Pack Soft,Well.ca retailer listing (Canada).,n.a.,n.a.,Brush,n.a.,Well.ca sku 190816,Well.ca,https://well.ca/products/colgate-360-toothbrush-value-pack_190816.html,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0052,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Toothbrush With Tongue And Cheek Cleaner Medium,Walmart Canada retailer listing.,n.a.,n.a.,Brush,n.a.,Walmart.ca item 6000197751867,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Toothbrush-with-Tongue-and-Cheek-Cleaner-Medium/6000197751867,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0053,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Toothbrush With Tongue And Cheek Cleaner Soft,Walmart Canada retailer listing.,n.a.,n.a.,Brush,n.a.,Walmart.ca item 6000197752370,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Toothbrush-with-Tongue-and-Cheek-Cleaner-Soft/6000197752370,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0054,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Toothbrush with Tongue and Cheek Cleaner Medium,Well.ca retailer listing (Canada).,n.a.,n.a.,Brush,n.a.,Well.ca sku 270250,Well.ca,https://well.ca/products/colgate-360-toothbrush-with-tongue_270250.html,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0055,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Vibrate Charcoal Battery Powered Electric Toothbrush,The Colgate 360 Charcoal Sonic Powered Toothbrush with vibrating bristles provides a healthier whole mouth clean and removes more bacteria vs. brushing teeth alone with an ordinary flat-trim toothbrush.,Charcoal,n.a.,Brush,035000983992,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/360-charcoal-sonic-powered-vibrating,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0056,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,"Colgate 360 Vibrate Deep Clean Battery Powered Electric Toothbrush, Medium",The Colgate 360 Vibrate Deep Clean Battery Toothbrush Pack comes with 2 adult toothbrushes and combines the power of a battery powered electric toothbrush with the familiarity of a manual toothbrush head for an effective teeth cleaning experience.,n.a.,n.a.,Brush,827854019961,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/360-vibrate-deep-clean-battery-toothbrush-medium-2pk,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0057,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,"Colgate 360 Vibrate Deep Clean Battery Powered Electric Toothbrush, Medium, 2 Pack",Listed on Colgate brand site product carousel with barcode 058000140707,n.a.,2 ct,Brush,058000140707,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/360-ow-sonic-power,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0058,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,"Colgate 360 Vibrate Deep Clean Battery Powered Electric Toothbrush, Medium, 2 Pack",<p>The Colgate 360 Vibrate Deep Clean Battery Toothbrush Pack comes with 2 adult toothbrushes and combines the power of a battery powered electric toothbrush with the familiarity of a manual toothbrush head for an effective teeth cleaning experience.</p>,n.a.,n.a.,Brush,n.a.,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/360-ow-sonic-power,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0059,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Vibrate Whitening Battery Operated Toothbrushes With 1 Aaa Battery,Walmart Canada retailer listing.,n.a.,n.a.,Brush,n.a.,Walmart.ca item 6000200487808,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Vibrate-Whitening-Battery-Operated-Toothbrushes-with-1-AAA-Battery/6000200487808,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0060,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate 360,Colgate 360 Vibrate Whitening Battery Powered Electric Toothbrush,"The Colgate 360 Optic White Sonic Power toothbrush has 2X whitening action by whitening teeth in 2 ways. This powered toothbrush lets you activate 20,000 sonic strokes per minute with the simple touch of a button and includes a tongue and cheek cleaner. Battery is included.",n.a.,n.a.,Brush,058000140714,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/colgate-360-whitening-medium-sonic-powered,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0061,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,Colgate 360 Whole Mouth Clean Medium Toothbrush For Adults 6Pk,Walmart Canada retailer listing.,n.a.,6 ct,Brush,n.a.,Walmart.ca item 6000201669372,Walmart Canada,https://www.walmart.ca/en/ip/Colgate-360-Whole-Mouth-Clean-Medium-toothbrush-for-adults-6pk/6000201669372,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0062,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,"Colgate 360° Advanced Whitening Toothbrush, Medium Adult Toothbrush, 1 Pack<br/>",A whiter smile begins with your first brushing with the Colgate 360° Advanced Whitening Adult Medium Toothbrush.,n.a.,n.a.,Brush,n.a.,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/360-advanced-optic-white,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0063,Canada,Colgate,Toothbrush,Manual toothbrush,Colgate 360,"Colgate 360° Advanced Whitening Toothbrush, Soft Adult Toothbrush, 1 Pack",Listed on Colgate brand site product carousel with barcode 035000454591. Barcode-database title: Colgate 360 Optic White Advanced Manual Toothbrush FHS - 1ct,n.a.,1 ct,Brush,035000454591,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothbrush/360-whitening-soft,Brand site,Medium,2026-08-31
